;; -*- coding: utf-8 -*--
a-kui-na 阿奎那
guo-shi-po-huai-jiao-tong-gong-ju-zui 过失破坏交通工具罪
guo-shi-po-huai-jiao-tong-she-bei-zui 过失破坏交通设备罪
guo-shi-po-huai-tong-xun-she-bei-zui 过失破坏通讯设备罪
guo-shi-po-huai-yi-ran-yi-bao-she-bei-zui 过失破坏易燃易爆设备罪
guo-shi-qin-quan 过失侵权
guo-shi-sha-ren-zui 过失杀人罪
guo-shi-yin-qi-zhong-du-zui 过失引起中毒罪
guo-shi-zhong-shang-zui 过失重伤罪
guo-shu-li 郭树理
guo-wu-yuan 国务院
guo-wu-yuan-zu-zhi-fa 国务院组织法
guo-ying-gong-si 国营公司
guo-you-du-zi-gong-si 国有独资公司
guo-you-hua 国有化
guo-you-tu-di-hua-bo 国有土地划拨
guo-you-tu-di-shi-yong-quan 国有土地使用权
guo-you-zi-chan 国有资产
guo-you-zi-chan-chan-quan 国有资产产权
guo-yu-zi-xin-guo-shi 过于自信过失
guo-zao-de-fang-wei 过早的防卫
guo-zhai-hui-gou 国债回购
guo-zhang 过帐
ha-bei-ma-si 哈贝马斯
ha-te 哈特
ha-ye-ke 哈耶克
hai-guan 海关
hai-nan-jiu-zhu 海难救助
hai-shang-bao-xian-he-tong 海上保险合同
hai-shang-cai-chan 海上财产
hai-shang-cai-chan-wu-zhu 海上财产无主
hai-shang-fa 海商法
hai-shang-huo-wu-suo-pei 海上货物索赔
hai-shang-huo-wu-yun-shu-bao-xian 海上货物运输保险
hai-shang-lv-ke-yun-shu-he-tong 海上旅客运输合同
hai-shi-pei-chang-ze-ren-xian-zhi 海事赔偿责任限制
hai-shi-pei-chang-ze-ren-xian-zhi-ji-jin 海事赔偿责任限制基金
hai-shi-qiang-zhi-ling 海事强制令
hai-shi-qin-quan-sun-hai-pei-chang 海事侵权损害赔偿
hai-shi-qing-qiu-bao-quan 海事请求保全
hai-shi-qing-qiu-quan 海事请求权
hai-shi-shi-gu 海事事故
hai-shi-su-song-te-bie-cheng-xu-fa 海事诉讼特别程序法
hai-shi-xing-zheng 海事行政
hai-shi-zhai-quan-deng-ji 海事债权登记
hai-shi-zhai-quan-que-quan 海事债权确权
hai-shi-zhi-fu-ling 海事支付令
hai-shi-zhong-cai-cai-jue 海事仲裁裁决
hai-yu-wu-ran 海域污染
hai-yun-dan 海运单
hai-yun-qi-zha 海运欺诈
han-mi-er-dun 汉密尔顿
han-wei-guo-jia-fa-lv-zun-yan 捍卫国家法律尊严
hang-ci-zu-chuan-he-tong 航次租船合同
hang-kong-yun-shu 航空运输
hang-xian 航线
hang-ye-guan-li-bu-men-gui-zhang-de-xiao-li 行业管理部门规章的效力
hang-yun-guan-li 航运惯例
he-bing 合并
he-bing-shen-li 合并审理
he-bing-shen-li-xiang-guan-an-jian 合并审理相关案件
he-bing-tiao-kuan 合并条款
he-fa 合法
he-fa-cai-chan 合法财产
he-fa-de 合法的
he-fa-hua 合法化
he-fa-xing 合法性
he-fa-xing-wei 合法行为
he-fa-zhan-you 合法占有
he-huai-hong 何怀宏
he-huo 合伙
he-huo-cai-chan 合伙财产
he-huo-jie-san 合伙解散
he-huo-nei-bu-qin-quan 合伙内部侵权
he-huo-qi-ye 合伙企业
he-huo-qi-ye-fa 合伙企业法
he-huo-xie-yi 合伙协议
he-huo-xing-lian-ying 合伙型联营
he-huo-zhai-wu 合伙债务
he-jia-hong 何家弘
he-jie 和解
he-jie-cheng-xu 和解程序
he-jie-he-tong 和解合同
he-jie-xie-yi 和解协议
he-li-bao-xian 合力保险
he-li-hua-jian-yi 合理化建议
he-li-shi-yong 合理使用
he-li-xing-yuan-ze 合理性原则
he-li-yi-zhu 合立遗嘱
he-li-zhu-yi-yi-wu 合理注意义务
he-qin-hua 何勤华
he-tong 合同
he-tong-bao-xian-jin-e 合同保险金额
he-tong-bian-geng 合同变更
he-tong-bian-geng-de-zhu-ti 合同变更的主体
he-tong-cheng-li 合同成立
he-tong-cheng-li-yao-jian 合同成立要件
he-tong-de-bi-yao-tiao-kuan 合同的必要条款
he-tong-de-cheng-li 合同的成立
he-tong-de-jian-zheng 合同的鉴证
he-tong-de-jie-chu 合同的解除
he-tong-de-jie-shi 合同的解释
he-tong-de-lv-xing 合同的履行
he-tong-de-qian-ding-cheng-xu 合同的签订程序
he-tong-de-xiang-dui-xing 合同的相对性
he-tong-de-xiao-li 合同的效力
he-tong-de-xing-shi 合同的形式
he-tong-de-zhong-zhi 合同的中止
he-tong-de-zhong-zhi 合同的终止
he-tong-de-zhu-yao-tiao-kuan 合同的主要条款
he-tong-de-zhuan-rang 合同的转让
he-tong-fa 合同法
he-tong-gong-zheng 合同公证
he-tong-jie-chu 合同解除
he-tong-luo-kong 合同落空
he-tong-lv-xing 合同履行
he-tong-lv-xing-bu-neng 合同履行不能
he-tong-lv-xing-di 合同履行地
he-tong-shen-pi 合同审批
he-tong-sheng-xiao 合同生效
he-tong-shu 合同书
he-tong-wu-xiao 合同无效
he-tong-xing-lian-ying 合同型联营
he-tong-you-xiao 合同有效
he-tong-yue-ding 合同约定
he-tong-ze-ren 合同责任
he-tong-zha-pian 合同诈骗
he-tong-zhu-ti-zi-ge 合同主体资格
he-tong-zhun-ju-fa 合同准据法
he-wei-fang 贺卫方
he-xian-xing 合宪性
he-yi 合意
he-yi-ting 合议庭
he-zi-jian-fang 合资建房
he-zi-jing-ying 合资经营
he-zi-jing-ying-gong-si 合资经营公司
he-zuo-kai-fa 合作开发
he-zuo-kai-fa-he-tong 合作开发合同
he-zuo-pai-she 合作拍摄
he-zuo-ru-gu 合作入股
he-zuo-xie-yi 合作协议
he-zuo-zuo-pin 合作作品
hei-ge-er 黑格尔
hei-she-hui-xing-zhi-zu-zhi-fan-zui 黑社会性质组织犯罪
hei-shi-jing-ji 黑市经济
heng-ping-fa 衡平法
hou-shou 后手
hou-wei-ji-cheng 后位继承
hou-xian-dai-fa-xue 后现代法学
hu-ji 户籍
hu-ji-suo-zai-di 户籍所在地
hu-kou 户口
hu-su 互诉
hu-xi-zhong-zhi-shuo 呼吸终止说
hu-yi-he-tong 互易合同
hua-xian-zhi-piao 划线支票
huan-fang-he-tong 换房合同
huan-jing-bao-hu-fa 环境保护法
huan-jing-wu-ran-sun-hai-pei-chang 环境污染损害赔偿
huan-jue-cuo-wu 幻觉错误
huan-jue-fan 幻觉犯
huan-kuan-xie-yi 还款协议
huan-pan 还盘
huan-xing 缓刑
huang-jin-tiao-kuan 黄金条款
hui-bi 回避
hui-bi-jue-ding 回避决定
hui-dui 汇兑
hui-fu-ming-yu 恢复名誉
hui-fu-yuan-zhuang 恢复原状
hui-kou 回扣
hui-lu-an 贿赂案
hui-lu-wu 贿赂物
hui-mie-gong-wen-zheng-jian-yin-zhang-zui 毁灭公文证件印章罪
hui-piao 汇票
hui-piao-bei-shu 汇票背书
hui-piao-zhi-ya 汇票质押
hui-rong 毁容
hui-shu-quan 回赎权
hui-tou-bei-shu 回头背书
hui-xiao-zuo-pin 汇校作品
hui-xuan 贿选
hui-zu-he-tong 回租合同
hun-he-de-fan-zui-gou-cheng 混合的犯罪构成
hun-he-guo-cuo-ze-ren 混合过错责任
hun-he-ren-shou-bao-xian 混合人寿保险
hun-he-shi-su-song 混合式诉讼
hun-he-ze-ren 混合责任
hun-he-zeng-yu 混合赠与
hun-qian-cai-chan 婚前财产
hun-sheng-zi-nv 婚生子女
hun-tong 混同
hun-xiao 混淆
hun-yin 婚姻
hun-yin-deng-ji 婚姻登记
hun-yin-deng-ji-jian-du-guan-li 婚姻登记监督管理
hun-yin-fa 婚姻法
hun-yin-ji-chu 婚姻基础
hun-yin-zi-you 婚姻自由
hun-yue 婚约
hun-za 混杂
huo-bu-si 霍布斯
huo-cha 货差
huo-de-bao-chou-quan 获得报酬权
huo-er 霍尔
huo-fei-er-de 霍菲尔德
huo-huan 货换
huo-mian 豁免
huo-mian-quan 豁免权
huo-mu-si 霍姆斯
huo-wu-liu-zhi 货物留置
huo-wu-luo-kong 货物落空
huo-wu-suo-you-quan 货物所有权
huo-wu-suo-you-quan-zhuan-yi 货物所有权转移
huo-wu-yun-shu-min-shi-jing-ji-fa-lv-guan-xi 货物运输民事经济法律关系
huo-wu-zhi-liang 货物质量
huo-wu-zhong-liang-duan-sun 货物重量短损
huo-yun-dai-li 货运代理
huo-yun-dai-li-he-tong 货运代理合同
huo-yun-dai-li-ren 货运代理人
huo-zai-bao-xian 火灾保险
huo-zai-ze-ren-shi-gu-ren-ding 火灾责任事故认定
ji-ben-de-fan-zui-gou-cheng 基本的犯罪构成
ji-ben-fan 基本犯
ji-ben-li-yi 基本利益
ji-ben-shi-shi 基本事实
ji-ben-zhang-hu 基本帐户
ji-ben-zhuan-li 基本专利
ji-bie-guan-xia 级别管辖
ji-ceng-liang-yuan 基层两院
ji-cheng 继承
ji-cheng-fa 继承法
ji-cheng-fan 即成犯
ji-cheng-kai-shi 继承开始
ji-cheng-quan 继承权
ji-cheng-quan-de-fang-qi 继承权的放弃
ji-cheng-quan-de-sang-shi 继承权的丧失
ji-cheng-ren 继承人
ji-cheng-shun-xu 继承顺序
ji-cheng-zi-ge-de-sang-shi 继承资格的丧失
ji-chu-shu-zheng 基础书证
ji-cun-bao-guan 寄存保管
ji-fu 给付
ji-fu-mu 继父母
ji-guan-fa-ren 机关法人
ji-he-wu 集合物
ji-hua-sheng-yu 计划生育
ji-ji-cuo-wu 积极错误
ji-ji-de-fan-zui-gou-cheng 积极的犯罪构成
ji-ji-hui-lu 积极贿赂
ji-jian 鸡奸
ji-jian-zu 纪检组
ji-jin 基金
ji-le-wei-sui 既了未遂
ji-le-zhong-zhi 既了中止
ji-ming-bei-shu 记名背书
ji-ming-gong-si-zhai 记名公司债
ji-ming-ti-dan 记名提单
ji-ming-you-jia-zheng-quan 记名有价证券
ji-ming-zhi-piao 记名支票
ji-qi-xin-yong-zheng 即期信用证
ji-shi-jiao-yi-shui 集市交易税
ji-shi-lv-xing 即时履行
ji-shi-mai-mai 即时买卖
ji-shi-qu-de 即时取得
ji-shou-he-tong 寄售合同
ji-shou-qu-de 继受取得
ji-shu-cheng-guo-jian-ding 技术成果鉴定
ji-shu-chu 技术处
ji-shu-de-shi-yong-xing 技术的实用性
ji-shu-fang-an-deng-tong 技术方案等同
ji-shu-fu-wu-he-tong 技术服务合同
ji-shu-he-tong 技术合同
ji-shu-he-zuo-kai-fa 技术合作开发
ji-shu-jian-ding 技术鉴定
ji-shu-jue-qiao 技术诀窍
ji-shu-kai-fa-he-tong 技术开发合同
ji-shu-ke 技术科
ji-shu-mi-mi 技术秘密
ji-shu-pei-xun-he-tong 技术培训合同
ji-shu-qin-quan 技术侵权
ji-shu-te-zheng 技术特征
ji-shu-xin-xi 技术信息
ji-shu-zhuan-rang 技术转让
ji-shu-zhuan-rang-he-tong 技术转让合同
ji-shu-zi-xun 技术咨询
ji-shu-zi-xun-he-tong 技术咨询合同
ji-si-quan 祭祀权
ji-suan-ji-ruan-jian-qin-quan 计算机软件侵权
ji-suan-ji-ruan-jian-zuo-pin-zhu-zuo-quan 计算机软件作品著作权
ji-sui-gou-cheng-yao-jian-shuo 既遂构成要件说
ji-sui-jie-guo-shuo 既遂结果说
ji-sui-mu-di-shuo 既遂目的说
ji-sui-xing-wei-shuo 既遂行为说
ji-ti-suo-you-quan 集体所有权
ji-ti-suo-you-zhi 集体所有制
ji-ti-ti-liu 集体提留
ji-ti-tu-di-shi-yong-quan 集体土地使用权
ji-ti-tu-di-suo-you-quan 集体土地所有权
ji-tuan-fan 集团犯
ji-tuan-qi-ye-gai-zhi-wei-you-xian-gong-si 集团企业改制为有限公司
ji-wei-dong 季卫东
ji-xu-lv-xing 继续履行
ji-ya 羁押
ji-ya-shi-xian 羁押时限
ji-yu-shou-ren 寄予售人
ji-zai-yin-shu 积载因数
ji-zang-wu 祭葬物
ji-zhuang-xiang 集装箱
ji-zi 集资
ji-zi-nv 继子女
ji-zi-nv-guan-xi 继子女关系
jia-chun-wang 贾春旺
jia-da-mo-er 伽达默尔
jia-er-wen 加尔文
jia-ge-bao-hu 价格保护
jia-ge-shu-yu 价格术语
jia-gong-cheng-lan-he-tong 加工承揽合同
jia-gong-ding-zuo-he-tong 加工定作合同
jia-gong-he-tong 加工合同
jia-hai-ji-fu 加害给付
jia-hai-ren-guo-cuo 加害人过错
jia-li-hun-tao-fei-zhai-wu 假离婚逃废债务
jia-mao 假冒
jia-mao-shang-biao 假冒商标
jia-mao-shang-biao-zui 假冒商标罪
jia-mao-shang-pin 假冒商品
jia-mao-ta-ren-xing-ming 假冒他人姓名
jia-mao-ta-ren-zhuan-li 假冒他人专利
jia-mao-wei-lie-chan-pin 假冒伪劣产品
jia-mao-zhu-ce-shang-biao-zui 假冒注册商标罪
jia-mao-zhuan-li-zui 假冒专利罪
jia-mi-cun-kuan 加密存款
jia-shi 假释
jia-shi-zhi-du 假释制度
jia-shu 家属
jia-su-dao-qi 加速到期
jia-ting-bao-li 家庭暴力
jia-ting-cai-chan 家庭财产
jia-ting-gong-tong-cai-chan-de-fen-ge 家庭共同财产的分割
jia-ting-jing-ying 家庭经营
jia-ting-lian-chan-cheng-bao-ze-ren-zhi 家庭联产承包责任制
jia-xiang-de-bi-xian 假想的避险
jia-xiang-fang-wei 假想防卫
jia-yao 假药
jia-zhi-li-xing 价值理性
jia-zhi-pan-duan 价值判断
jia-zhong-de-fan-zui-gou-cheng 加重的犯罪构成
jia-zhong-fan 加重犯
jian-bei-ju-zhu-jue-ding-shu 监被居住决定书
jian-bing 兼并
jian-bing-de-sheng-xiao 兼并的生效
jian-cang 建仓
jian-cha-guan 检察官
jian-cha-guan-fa 检察官法
jian-cha-guan-zhi-ye-dao-de-gui-fan 检察官职业道德规范
jian-cha-ji-shu-gong-zuo 检察技术工作
jian-cha-jian-yi 检察建议
jian-cha-jin-tie 检察津贴
jian-cha-quan 检察权
jian-cha-yuan 检察院
jian-cha-yuan-zi-xing-zhen-cha-de-xing-shi-an-jian 检察院自行侦查的刑事案件
jian-cha-zhang 检察长
jian-ci 鉴此
jian-dan-de-fan-zui-gou-cheng 简单的犯罪构成
jian-dan-gong-fan 简单共犯
jian-dan-ke-ti 简单客体
jian-dan-zui-zhuang 简单罪状
jian-die-zui 间谍罪
jian-ding 鉴定
jian-ding-ren 鉴定人
jian-du-ti-xi 监督体系
jian-gou 建构
jian-guan-ze-ren 监管责任
jian-hu 监护
jian-hu-quan 监护权
jian-hu-ren 监护人
jian-hu-ze-ren 监护责任
jian-jie-dai-li 间接代理
jian-jie-fan-zhi 间接反致
jian-jie-gu-yi 间接故意
jian-jie-jiao-suo-fan 间接教唆犯
jian-jie-sun-shi 间接损失
jian-jie-tou-zi 间接投资
jian-jie-yi-wu 间接义务
jian-jie-yin-guo-guan-xi 间接因果关系
jian-ju 检举
jian-ju-quan 检举权
jian-ju-shi-shi 检举失实
jian-li-ren 监理人
jian-qing-chu-fa 减轻处罚
jian-qing-de-fan-zui-gou-cheng 减轻的犯罪构成
jian-qing-fan 减轻犯
jian-qing-xing-shi-ze-ren-shi-qi 减轻刑事责任时期
jian-she-gong-cheng 建设工程
jian-she-gong-cheng-he-tong 建设工程合同
jian-she-yong-di 建设用地
jian-shi 奸尸
jian-shi 监事
jian-shi-hui 监事会
jian-shi-ju-zhu 监视居住
jian-xing 减刑
jian-yan 检验
jian-yi-cheng-xu 简易程序
jian-yin 奸淫
jian-yin-you-nv-zui 奸淫幼女罪
jian-zheng 鉴证
jian-zheng-ren 见证人
jian-zhi-shou-ru 兼职收入
jian-zhu-zhi-liang 建筑质量
jiang-jin 奖金
jiang-ming-an 姜明安
jiang-ping 江平
jiao-cuo-yao-yue 交错要约
jiao-fu 交付
jiao-fu-de-gou-fang-kuan 交付的购房款
jiao-fu-huo-wu 交付货物
jiao-ge-ping-dan 交割凭单
jiao-hu-ji-suan 交互计算
jiao-hui-fa 教会法
jiao-huo-di 交货地
jiao-huo-gong-tong-tiao-jian 交货共同条件
jiao-suo-de-wei-sui 教唆的未遂
jiao-suo-de-yu-bei 教唆的预备
jiao-suo-de-zhong-zhi 教唆的中止
jiao-suo-fan 教唆犯
jiao-suo-gu-yi 教唆故意
jiao-suo-xing-wei 教唆行为
jiao-tong-shi-gu 交通事故
jiao-tong-shi-gu-sun-hai-pei-chang 交通事故损害赔偿
jiao-tong-zhao-shi 交通肇事
jiao-tong-zhao-shi-zui 交通肇事罪
jiao-xue-zhi-xu 教学秩序
jiao-yang-guan-xi 教养关系
jiao-yao-shi-he-tong 交钥匙合同
jie-bei-jie-zhuang 界碑界桩
jie-cang-jiao-yi 借仓交易
jie-chu-he-tong 解除合同
jie-chu-hun-yin-guan-xi 解除婚姻关系
jie-chu-shou-yang-guan-xi 解除收养关系
jie-chu-shuo 接触说
jie-chu-tiao-jian 解除条件
jie-chu-tong-ju-guan-xi-de-cai-chan-fen-ge 解除同居关系的财产分割
jie-dai-he-tong 借贷合同
jie-duan-xing-ji-shu-cheng-guo 阶段性技术成果
jie-gou-zhu-yi-fa-xue 解构主义法学
jie-guan 接管
jie-guo-fan 结果犯
jie-guo-jia-zhong-fan 结果加重犯
jie-he-de-fan-zui-gou-cheng 结合的犯罪构成
jie-hui 解汇
jie-hun 结婚
jie-hun-cai-li-de-gui-shu 结婚彩礼的归属
jie-hun-de-fa-ding-tiao-jian 结婚的法定条件
jie-hun-yin-suo-qu-cai-wu 借婚姻索取财物
jie-kai-gong-si-mian-sha 揭开公司面纱
jie-kuan-he-tong 借款合同
jie-kuan-ren 借款人
jie-mi-xin-zao-yao-zui 借迷信造谣罪
jie-mi-xin-zha-pian-zui 借迷信诈骗罪
jie-mu-yu-bao-lei-zuo-pin-de-xing-zhi 节目预报类作品的性质
jie-pei-xun 杰裴逊
jie-qing-zhai-quan-zhai-wu 结清债权债务
jie-shao-hui-lu-zui 介绍贿赂罪
jie-suan-he-tong 结算合同
jie-xin-hai-jiu 借新还旧
jie-xu 接续
jie-yong 借用
jie-yong-he-tong 借用合同
jie-yue-ding-jin 解约定金
jie-yue-ri 解约日
jin-cheng 进程
jin-chu-kou-guan-zhi 进出口管制
jin-dai-zhe-li-fa-xue 近代哲理法学
jin-dai-zhe-li-fa-xue-pai 近代哲理法学派
jin-ji-bi-nan 紧急避难
jin-ji-bi-xian 紧急避险
jin-ji-wei-nan 紧急危难
jin-kou-chu-ban-xu-ke-zheng 进口出版许可证
jin-kou-pei-e-zhi 进口配额制
jin-kou-shui 进口税
jin-kou-ti-dai 进口替代
jin-kou-ya-jin-zhi 进口押金制
jin-qin-shu 近亲属
jin-rong-fan-zui 金融犯罪
jin-rong-piao-zheng 金融票证
jin-rong-ping-zheng 金融凭证
jin-rong-zhai-quan 金融债券
jin-si 近似
jin-si-shang-biao 近似商标
jin-zhi-liu-tong-wu 禁止流通物
jin-zhi-zhuan-rang-bei-shu 禁止转让背书
jing-chi-cang-xian-e-kong-zhi 净持仓限额控制
jing-he 竞合
jing-ji-dan-bao 经济担保
jing-ji-fa 经济法
jing-ji-fan-zui 经济犯罪
jing-ji-fan-zui-an-jian 经济犯罪案件
jing-ji-fen-xi 经济分析
jing-ji-fen-xi-fa-xue 经济分析法学
jing-ji-jie-shi 经济解释
jing-ji-ren 经纪人
jing-ji-xue 经济学
jing-ji-xue-fen-xi 经济学分析
jing-mai-ren 竞买人
jing-shen-bing-ren 精神病人
jing-shen-cong-fan 精神从犯
jing-shen-fa 精神罚
jing-shen-pei-chang 精神赔偿
jing-shen-sun-hai 精神损害
jing-shen-sun-hai-pei-chang 精神损害赔偿
jing-shen-sun-shi-fei 精神损失费
jing-shen-zhang-ai-zhe 精神障碍者
jing-yan-shi 经验式
jing-ye-jin-zhi 竞业禁止
jing-ye-xian-zhi 竞业限制
jing-ying-dian-dang-ye-wu-zi-ge 经营典当业务资格
jing-ying-fan-wei 经营范围
jing-ying-quan 经营权
jing-ying-quan-zu-lin 经营权租赁
jing-ying-xin-xi 经营信息
jing-ying-xu-ke-zheng 经营许可证
jing-ying-zi-zhu-quan 经营自主权
jing-zheng-fa-lv-guan-xi 竞争法律关系
jiu-fen 纠纷
jiu-gao-pei-chang-de-yuan-ze 就高赔偿的原则
jiu-ji-quan 救济权
jiu-wen-shi-su-song 纠问式诉讼
jiu-zhu-bao-chou 救助报酬
ju-bao-zhong-xin 举报中心
ju-ben-shang-yan-he-tong 剧本上演合同
ju-bu-zhi-xing-pan-jue-cai-ding-zui 拒不执行判决裁定罪
ju-chuan 拘传
ju-chuan-piao 拘传票
ju-dong-fan 举动犯
ju-jian 居间
ju-jian-he-tong 居间合同
ju-jian-mou-li 居间牟利
ju-jian-ren 居间人
ju-jian-xing-wei 居间行为
ju-jian-zi-ge 居间资格
ju-jue-bian-hu 拒绝辩护
ju-jue-cheng-fu 拒绝承付
ju-jue-zheng-shu 拒绝证书
ju-liu 拘留
ju-liu-zheng 拘留证
ju-min-wei-yuan-hui 居民委员会
ju-suo 居所
ju-ti 拘提
ju-ti-de-shi-shi-cuo-wu 具体的事实错误
ju-ti-de-wei-xian-fan 具体的危险犯
ju-ti-fu-he-shuo 具体符合说
ju-ti-shi-xiang 具体事项
ju-ti-xing-zheng-xing-wei 具体行政行为
ju-yi 拘役
ju-you-fa-lv-shang-de-li-hai-guan-xi-de-di-san-ren 具有法律上的利害关系的第三人
ju-zhong 聚众
ju-zhong-da-za-qiang-zui 聚众打砸抢罪
ju-zhong-dou-ou 聚众斗殴
ju-zhong-fan-zui 聚众犯罪
ju-zhong-jie-yu-zui 聚众劫狱罪
ju-zhong-rao-luan-gong-gong-chang-suo-zhi-xu-zui 聚众扰乱公共场所秩序罪
ju-zhong-rao-luan-jiao-tong-zhi-xu-zui 聚众扰乱交通秩序罪
ju-zhu-quan 居住权
juan-zeng 捐赠
juan-zhu 捐助
jue-ding-dai-bu 决定逮捕
jue-dui-bu-neng-fan 绝对不能犯
jue-dui-bu-que-ding-de-fa-ding-xing 绝对不确定的法定刑
jue-dui-quan 绝对权
jue-dui-que-ding-de-fa-ding-xing 绝对确定的法定刑
jue-dui-xuan-gao-xing 绝对宣告刑
jue-mai 绝卖
jue-shui-zui 决水罪
jun-cha-ming 均查明
jun-fa 军法
jun-fa-cong-yan-yuan-ze 军法从严原则
jun-hun 军婚
jun-nei-zai-bian-zhi-gong 军内在编职工
jun-ren-can-hai-zhan-qu-wu-gu-ju-min-zui 军人残害战区无辜居民罪
jun-ren-dao-qie-jun-yong-wu-zi-zui 军人盗窃军用物资罪
jun-ren-dao-qie-wu-qi-zhuang-bei-zui 军人盗窃武器装备罪
jun-ren-huang-bao-jun-qing-zui 军人谎报军情罪
jun-ren-jia-chuan-jun-ling-zui 军人假传军令罪
jun-ren-lin-zhen-tuo-tao-zui 军人临阵脱逃罪
jun-ren-lue-duo-zhan-qu-wu-gu-ju-min-zui 军人掠夺战区无辜居民罪
jun-ren-nue-dai-fu-lu-zui 军人虐待俘虏罪
jun-ren-nue-dai-po-hai-bu-shu-zui 军人虐待迫害部属罪
jun-ren-po-huai-jun-shi-she-shi-zui 军人破坏军事设施罪
jun-ren-po-huai-wu-qi-zhuang-bei-zui 军人破坏武器装备罪
jun-ren-qie-qu-ci-tan-ti-gong-jun-shi-ji-mi-zui 军人窃取刺探提供军事机密罪
jun-ren-shan-li-zhi-shou-zui 军人擅离职守罪
jun-ren-si-fang-ta-ren-tou-yue-guo-bian-jing-zui 军人私放他人偷越国边境罪
jun-ren-tao-li-bu-dui-zui 军人逃离部队罪
jun-ren-tou-yue-guo-bian-jing-wai-tao-zui 军人偷越国边境外逃罪
jun-ren-wan-hu-zhi-shou-zui 军人玩忽职守罪
jun-ren-wei-fan-zhi-ze-zui 军人违反职责罪
jun-ren-wei-kang-zuo-zhan-ming-ling-zui 军人违抗作战命令罪
jun-ren-wu-qi-zhuang-bei-zhao-shi-zui 军人武器装备肇事罪
jun-ren-xie-lou-jun-shi-ji-mi-zui 军人泄露军事机密罪
jun-ren-yi-qi-shang-yuan-zui 军人遗弃伤员罪
jun-ren-yi-shi-jun-shi-ji-mi-zui 军人遗失军事机密罪
jun-ren-zhan-shi-zao-yao-huo-zhong-zui 军人战时造谣惑众罪
jun-ren-zhan-shi-zi-shang-zui 军人战时自伤罪
jun-ren-zi-dong-tou-xiang-di-ren-zui 军人自动投降敌人罪
jun-ren-zu-ai-zhi-xing-zhi-wu-zui 军人阻碍执行职务罪
jun-shi-ji-mi 军事机密
jun-shi-li-yi 军事利益
jun-shi-she-shi 军事设施
jun-zhi 军职
jun-zhi-zui 军职罪
ka-duo-zuo 卡多佐
kai-biao 开标
kai-cai-quan-tou-zi 开采权投资
kai-er-sen 凯尔森
kai-fa-jing-ying-bu 开发经营部
kai-fang-gong-si 开放公司
kai-ting 开庭
kan-cha-she-ji-gong-cheng-cheng-bao 勘察设计工程承包
kang-bian-quan 抗辩权
kang-de 康德
kang-ju-dai-bu 抗拒逮捕
kang-shui-zui 抗税罪
kang-su 抗诉
ke-bao-li-yi 可保利益
ke-bei-shu-zhuan-rang-de-piao-ju 可背书转让的票据
ke-bian-geng-huo-che-xiao-de-min-shi-xing-wei 可变更或撤销的民事行为
ke-che-xiao-he-tong 可撤销合同
ke-de-li-yi-sun-shi 可得利益损失
ke-fen-wu 可分物
ke-fen-zhi-zhai 可分之债
ke-guan-gui-zui 客观归罪
ke-ji-cheng-guo-quan 科技成果权
ke-jin-zhi-shou 恪尽职守
ke-le 柯勒
ke-neng-ke-ti 可能客体
ke-qi-dai-li-yi 可期待利益
ke-si 科斯
ke-si-ding-li 科斯定理
ke-si-ding-lv 科斯定律
ke-su-xing 可诉性
ke-ti-bu-neng-fan 客体不能犯
ke-xiao-hao-wu 可消耗物
ke-xuan-ze-xing-zhi-ding-jiao-yi-zhi-du 可选择性指定交易制度
ke-xue-ji-shu 科学技术
ke-ying 柯英
ke-yu-jian-xing-sun-hai 可预见性损害
ken-ding-tiao-jian 肯定条件
kong-bai-bei-shu 空白背书
kong-bai-de-fan-zui-gou-cheng 空白的犯罪构成
kong-bai-zhi-piao 空白支票
kong-bai-zui-zhuang 空白罪状
kong-gao 控告
kong-gao-shen-shu-bu-men 控告申述部门
kong-gu-gong-si 控股公司
kong-jian-xiao-li 空间效力
kong-ke-gong-si 空壳公司
kong-shen-chu 控申处
kong-shen-ke 控申科
kong-su-shi-su-song 控诉式诉讼
kong-su-zhi-neng 控诉职能
kong-tou-ti-dan 空头提单
kong-tou-zhi-piao 空头支票
kong-zhi-shuo 控制说
kong-zhuan-hui-gou 空转回购
kou-chuan 扣船
kou-dai 扣贷
kou-tou-he-tong 口头合同
kou-tou-wei-tuo 口头委托
kou-tou-wei-tuo-xie-yi 口头委托协议
kou-tou-yi-zhu 口头遗嘱
kou-ya 扣押
kou-ya-chuan-bo 扣押船舶
kou-ya-chuan-zai-huo-wu 扣押船载货物
kou-ya-wu-pin-qing-dan 扣押物品清单
kua-guo-gong-si 跨国公司
kuai-ji-fa 会计法
kuai-ji-jian-ding 会计鉴定
kuan-yan-xiang-ji 宽严相济
kui-cang-fei 亏舱费
la-de-bu-lu-he 拉德布鲁赫
lai-liao-jia-gong 来料加工
lan-chu-ren 揽储人
lan-fa-lin-mu-zui 滥伐林木罪
lang-sun 浪损
lao-dong-bao-chou 劳动报酬
lao-dong-bao-xian 劳动保险
lao-dong-fa 劳动法
lao-dong-fa-lv-guan-xi 劳动法律关系
lao-dong-he-tong 劳动合同
lao-dong-he-tong-de-bian-geng 劳动合同的变更
lao-dong-he-tong-de-jie-chu 劳动合同的解除
lao-dong-he-tong-de-zhong-zhi 劳动合同的中止
lao-dong-he-tong-de-zhong-zhi 劳动合同的终止
lao-dong-shi-yong-qi 劳动试用期
