;; -*- coding: utf-8 -*--
a-li-tong 阿里通
ping-ban-sao-miao-yi 平板扫描仪
ping-ban-xian-shi-qi 平板显示器
ping-bi 屏蔽
ping-bi-ji-cun-qi 屏蔽寄存器
ping-bi-shuang-jiao-xian 屏蔽双绞线
ping-bi-xiang-liang 屏蔽向量
ping-ce-gui-ze 评测规则
ping-fan-han-shu-yi-lai 平凡函数依赖
ping-fang-fei-sheng-yu 平方非剩余
ping-fang-sheng-yu 平方剩余
ping-gu 评估
ping-heng-gui-bing-pai-xu 平衡归并排序
ping-heng-shu 平衡树
ping-heng-xing-lian-lu-jie-ru-gui-cheng 平衡型链路接入规程
ping-hua 平滑
ping-jia 评价
ping-jia-han-shu 评价函数
ping-jun-cun-qu-shi-jian 平均存取时间
ping-jun-deng-dai-shi-jian 平均等待时间
ping-jun-fang-wen-shi-jian 平均访问时间
ping-jun-gui-yue 平均归约
ping-jun-shi-xiao-jian-ge-shi-jian 平均失效间隔时间
ping-jun-wei-beng-kui-shi-jian 平均未崩溃时间
ping-jun-wu-gu-zhang-shi-jian 平均无故障时间
ping-jun-xing-tai-fen-xi 平均性态分析
ping-jun-xiu-fu-shi-jian 平均修复时间
ping-jun-xun-dao-shi-jian 平均寻道时间
ping-jun-zhi-ling-zhou-qi-shu 平均指令周期数
ping-mian 平面
ping-mian-ba-wei 平面八位
ping-mian-di-zhi-kong-jian 平面地址空间
ping-mian-dian-ji 平面点集
ping-mian-wen-jian 平面文件
ping-mian-wen-jian-xi-tong 平面文件系统
ping-mian-xiang-liang-chang 平面向量场
ping-mian-xing 平面性
ping-mu 屏幕
ping-mu-gong-xiang 屏幕共享
ping-mu-xian-shi 屏幕显示
ping-mu-xian-shi-zi-xing 屏幕显示字形
ping-mu-zuo-biao 屏幕坐标
ping-pang-guo-cheng 乒乓过程
ping-pang-mo-shi 乒乓模式
ping-shen 评审
ping-tai 平台
ping-xing-shu-juan-ji-fa 平行束卷积法
ping-xing-tou-ying 平行投影
ping-yi-bian-huan 平移变换
ping-zheng 凭证
po-jie 破解
po-yi-zhe 破译者
pu-bu-mo-xing 瀑布模型
pu-fen-xi 谱分析
pu-lei-si-bo 普雷斯波
pu-tong-hua 普通话
pu-tong-wen-jian-chuan-song-xie-yi 普通文件传送协议
pu-tong-yu-yan-xue 普通语言学
qi-ci-zuo-biao-xi 齐次坐标系
qi-dong 启动
qi-dong-shu-ru-shu-chu 启动输入输出
qi-dong-shu-ru-shu-chu-zhi-ling 启动输入输出指令
qi-fa-shi-cheng-xu 启发式程序
qi-fa-shi-fang-fa 启发式方法
qi-fa-shi-gui-ze 启发式规则
qi-fa-shi-han-shu 启发式函数
qi-fa-shi-ji-shu 启发式技术
qi-fa-shi-sou-suo 启发式搜索
qi-fa-shi-suan-fa 启发式算法
qi-fa-shi-tui-li 启发式推理
qi-fa-shi-xin-xi 启发式信息
qi-fa-shi-zhi-shi 启发式知识
qi-jian 器件
qi-jian-yan 奇检验
qi-leng 气冷
qi-pian 欺骗
qi-shi-jian-ge-ji-he 起始间隔集合
qi-shi-mu-lu 起始目录
qi-shi-xin-hao 起始信号
qi-wang 期望
qi-wang-qu-dong-xing-tui-li 期望驱动型推理
qi-wang-su-lv-yin-zi 期望速率因子
qi-ye 企业
qi-ye-ban 企业版
qi-ye-dui-ke-hu 企业对客户
qi-ye-dui-qi-ye 企业对企业
qi-ye-dui-zheng-fu 企业对政府
qi-ye-guo-cheng-jian-mo 企业过程建模
qi-ye-guo-cheng-zai-gong-cheng 企业过程再工程
qi-ye-mo-xing 企业模型
qi-ye-wang 企业网
qi-ye-xi-tong-gui-hua 企业系统规划
qi-ye-zi-yuan-gui-hua 企业资源规划
qi-yi 歧义
qi-yi-xi 奇异系
qi-yi-xiao-jie 歧义消解
qi-yong 启用
qi-zha 欺诈
qi-zhi-shi-chuan-shu 起止式传输
qia-dang-fu-gai-wen-ti 恰当覆盖问题
qian-duan-chu-li-qi 前端处理器
qian-fu-shi-jian 潜伏时间
qian-ji 前集
qian-jing-se 前景色
qian-kui-kong-zhi 前馈控制
qian-ming-mo-shi 签名模式
qian-ming-suan-fa 签名算法
qian-ming-wen-jian 签名文件
qian-ming-yan-zheng 签名验证
qian-qu-zhan 前驱站
qian-ru-ci-fu 嵌入伺服
qian-ru-shi 嵌入式
qian-ru-shi-ji-suan-ji 嵌入式计算机
qian-ru-shi-kong-zhi-qi 嵌入式控制器
qian-ru-shi-ruan-jian 嵌入式软件
qian-ru-shi-tong-xin-chu-li-qi 嵌入式通信处理器
qian-ru-shi-ying-yong 嵌入式应用
qian-ru-shi-yu-yan 嵌入式语言
qian-shu-fan-shi 前束范式
qian-tai 前台
qian-tai-cao-zuo-fang-shi 前台操作方式
qian-tai-chu-qi-cheng-xu 前台初启程序
qian-tai-diao-du-cheng-xu 前台调度程序
qian-tai-fen-qu 前台分区
qian-tai-fen-ye 前台分页
qian-tai-jian-kong-cheng-xu 前台监控程序
qian-tai-qu 前台区
qian-tai-ren-wu 前台任务
qian-tai-zuo-ye 前台作业
qian-tao 嵌套
qian-tao-shi-wu 嵌套事务
qian-tao-xun-huan 嵌套循环
qian-tao-xun-huan-fa 嵌套循环法
qian-tao-zhong-duan 嵌套中断
qian-ti 前提
qian-tong-bu-ma 前同步码
qian-xi-nian-wei-ji 千禧年危机
qian-xiang 前像
qian-xiang-chuan-rao 前向串扰
qian-xiang-xian-shi-yong-se-zhi-shi 前向显式拥塞指示
qian-xu 前序
qian-yan 前沿
qian-yi-kai-xiao 迁移开销
qian-yin-shi-shu-zhi-qi 牵引式输纸器
qian-zhui 前缀
qian-zhui-xing-zhi 前缀性质
qian-zi-zhi-liang 铅字质量
qiang-du-xue-ruo 强度削弱
qiang-lei-xing 强类型
qiang-lian-tong-fen-zhi 强连通分支
qiang-lian-tong-tu 强连通图
qiang-lian-tong-wen-ti 强连通问题
qiang-xian 抢先
qiang-xian-diao-du 抢先调度
qiang-xian-duo-ren-wu-chu-li 抢先多任务处理
qiang-xing-xian-shi 强行显示
qiang-yi-zhi-xing 强一致性
qiang-zhi-bao-hu 强制保护
qiang-zhi-dui-liu 强制对流
qiang-zhi-fang-wen-kong-zhi 强制访问控制
qiang-zhi-leng-que 强制冷却
qiang-zhi-qi-leng 强制气冷
qiao-jie-gu-zhang 桥接故障
qiao-jie-jie-dian 桥接结点
qiao-lu-you-qi 桥路由器
qiao-mu-si-ji-ceng-ci-jie-gou 乔姆斯基层次结构
qiao-mu-si-ji-fan-shi 乔姆斯基范式
qiao-mu-si-ji-pu-xi 乔姆斯基谱系
qie-qu-cheng-xu 窃取程序
qie-qu-xin-dao-xin-xi 窃取信道信息
qie-si-te 切斯特
qie-ting 窃听
qing-bao-jian-suo-yu-yan 情报检索语言
qing-chu 清除
qing-chu-qing-qiu 清除请求
qing-gan-fu-hao 情感符号
qing-gan-jian-mo 情感建模
qing-jie-pan 清洁盘
qing-jie-ruan-pan 清洁软盘
qing-jing-ji-yi 情景记忆
qing-jing-xing-dong-xi-tong 情景行动系统
qing-jing-yan-suan 情景演算
qing-jing-zhu-ti 情景主体
qing-jing-zi-dong-ji 情景自动机
qing-kuang 情况
qing-kuang-yu-ju 情况语句
qing-qiu 请求
qing-qiu-can-shu-biao 请求参数表
qing-qiu-chu-li 请求处理
qing-qiu-fen-shi-chu-li 请求分时处理
qing-qiu-fen-ye 请求分页
qing-qiu-ping-lun 请求评论
qing-song-qi-che-heng-cheng-zhong-guan-li-ruan-jian 青松汽车衡称重管理软件
qing-tai-gong-li 情态公理
qing-tai-ji 情态集
qing-xi 清晰
qing-xi-du 清晰度
qing-xi-xing 清晰性
qiong-ju-ce-shi 穷举测试
qiong-ju-gong-ji 穷举攻击
qiong-ju-sou-suo 穷举搜索
qiu-jie-chu-deng-han-shu 求解初等函数
qiu-jie-lu-jing-xue-xi 求解路径学习
qiu-qi-lun-ti 丘奇论题
qiu-zhen-lie-feng-zhuang 球阵列封装
qu-chong 去重
qu-dong-an-quan 驱动安全
qu-dong-cheng-xu 驱动程序
qu-dong-dian-liu 驱动电流
qu-dong-fa 驱动法
qu-dong-mai-chong 驱动脉冲
qu-dong-men 驱动门
qu-dong-mo-ni 驱动模拟
qu-dong-qi 驱动器
qu-fen-xu-lie 区分序列
qu-han-qiang 去焊枪
qu-jian 区间
qu-jian-cha-xun 区间查询
qu-jian-shi-tai-luo-ji 区间时态逻辑
qu-jing-bian-huan 取景变换
qu-lun-kuo 取轮廓
qu-mian 曲面
qu-mian-bi-jin 曲面逼近
qu-mian-cha-zhi 曲面插值
qu-mian-chong-gou 曲面重构
qu-mian-fen-ge 曲面分割
qu-mian-guang-shun 曲面光顺
qu-mian-mo-xing 曲面模型
qu-mian-ni-he 曲面拟合
qu-mian-pi-pei 曲面匹配
qu-mian-pin-jie 曲面拼接
qu-mian-qiu-jiao 曲面求交
qu-mian-zao-xing 曲面造型
qu-mo-hu 去模糊
qu-wei-ji-lu 区位记录
qu-wei-ma 区位码
qu-xian 曲线
qu-xian-guang-shun 曲线光顺
qu-xian-ni-he 曲线拟合
qu-xiao 取消
qu-yu 区域
qu-yu-bao-hu 区域保护
qu-yu-bian-jie-lu-you-qi 区域边界路由器
qu-yu-biao-ding 区域标定
qu-yu-fen-ge 区域分割
qu-yu-he-bing 区域合并
qu-yu-ju-lei 区域聚类
qu-yu-kong-zhi-ren-wu 区域控制任务
qu-yu-miao-shu 区域描述
qu-yu-sheng-zhang 区域生长
qu-yu-tian-chong 区域填充
qu-zhi 取指
qu-zhi-ling 取指令
quan-biao 权标
quan-biao-chi-you-zhan 权标持有站
quan-biao-chuan-di 权标传递
quan-biao-chuan-di-xie-yi 权标传递协议
quan-biao-huan-wang 权标环网
quan-biao-lun-zhuan-shi-jian 权标轮转时间
quan-biao-zong-xian-wang 权标总线网
quan-chen-jin-shi-xu-ni-xian-shi 全沉浸式虚拟现实
quan-cheng-liang-ci 全称量词
quan-cheng-yu-ming 全称域名
quan-dong-gan-shi-pin 全动感视频
quan-gan-rao 全干扰
quan-gao-su-huan-cun-cun-qu 全高速缓存存取
quan-han-shu 权函数
quan-heng 权衡
quan-hun-xi 全混洗
quan-jia-qi 全加器
quan-jian-qi 全减器
quan-ju-bian-liang 全局变量
quan-ju-cha-xun 全局查询
quan-ju-cha-xun-you-hua 全局查询优化
quan-ju-cun-chu-qi 全局存储器
quan-ju-gong-xiang-zi-yuan 全局共享资源
quan-ju-gu-zhang 全局故障
quan-ju-shi-wu 全局事务
quan-ju-si-suo 全局死锁
quan-ju-sou-suo 全局搜索
quan-ju-yi-zhi-xing-cun-chu-qi 全局一致性存储器
quan-ju-ying-yong 全局应用
quan-ju-you-hua 全局优化
quan-ju-zhi-shi 全局知识
quan-lian-jie-wang 全连接网
quan-mian-zhi-liang-guan-li 全面质量管理
quan-ming 全名
quan-ping-mu 全屏幕
quan-qiu-di-zhi 全球地址
quan-qiu-di-zhi-guan-li 全球地址管理
quan-qiu-ding-wei-xi-tong 全球定位系统
quan-qiu-xin-xi-ji-chu-she-shi 全球信息基础设施
quan-shuang-gong-chuan-shu 全双工传输
quan-wen-jian-suo 全文检索
quan-wen-suo-yin 全文索引
quan-xi 全息
quan-xi-cun-chu-qi 全息存储器
quan-xi-tu 全息图
quan-xian 权限
quan-xian-ding-yu-ming 全限定域名
quan-xiang-lian-gao-su-huan-cun 全相联高速缓存
quan-xiang-lian-ying-she 全相联映射
quan-yi-zhuang-tai 权宜状态
quan-zheng 权证
quan-zi-jian-cha-dian-lu 全自检查电路
que-bao 确保
que-bao-cao-zuo 确保操作
que-bao-deng-ji 确保等级
que-ding-bian-qian 确定变迁
que-ding-he-sui-ji-pei-te-li-wang 确定和随机佩特里网
que-ding-xing-diao-du 确定性调度
que-ding-xing-kong-zhi-xi-tong 确定性控制系统
que-ding-xing-suan-fa 确定性算法
que-ding-xing-tu-ling-ji 确定型图灵机
que-ding-xing-xia-tui-zi-dong-ji 确定型下推自动机
que-ding-xing-you-qiong-zi-dong-ji 确定型有穷自动机
que-jie 确界
que-ren 确认
que-shi-lv 缺失率
que-shi-sun-shi 缺失损失
que-xian 缺陷
que-xian-guan-li 缺陷管理
que-xian-tiao-yue 缺陷跳越
que-xin-du 确信度
que-ye 缺页
que-ye-pin-lv 缺页频率
que-ye-zhong-duan 缺页中断
que-zheng 确证
qun-ji 群集
qun-ji-fen-xi 群集分析
qun-ti-jue-ce-zhi-chi-xi-tong 群体决策支持系统
qun-ti-zhi-neng 群体智能
ran-liao-sheng-hua-yin-shua-ji 染料升华印刷机
rao-jie 绕接
re-bei-fen 热备份
re-bei-fen-ji-qun 热备份机群
re-biao 热表
re-cha-ba 热插拔
re-chuan-dao 热传导
re-dao-mo-kuai 热导模块
re-dui-liu 热对流
re-fu-she 热辐射
re-gan-qi 热感器
re-guan 热管
re-he-jin 热合金
re-jiao-huan 热交换
re-jiao-zheng 热校正
re-kong-zhi 热控制
re-la-zhuan-yin-yin-shua-ji 热蜡转印印刷机
re-liu 热流
re-min-yin-shua-ji 热敏印刷机
re-qi-dong 热启动
re-te-xing 热特性
re-ti-du 热梯度
re-tong-liang 热通量
re-ya-han 热压焊
re-yuan 热源
re-zhan-dian 热站点
re-zhuan-yin-yin-shua-ji 热转印印刷机
re-zu 热阻
ren-gong-ce-shi 人工测试
ren-gong-gan-yu 人工干预
ren-gong-jiao-huan-ji 人工交换机
ren-gong-jin-hua 人工进化
ren-gong-kong-zhi 人工控制
ren-gong-lu-ru 人工录入
ren-gong-mo-ni 人工模拟
ren-gong-ren-zhi 人工认知
ren-gong-shen-jing-wang-luo 人工神经网络
ren-gong-shen-jing-yuan 人工神经元
ren-gong-sheng-ming 人工生命
ren-gong-shi-jie 人工世界
ren-gong-wen-li 人工纹理
ren-gong-xian-shi 人工现实
ren-gong-xin-xi-xi-tong 人工信息系统
ren-gong-yu-yan 人工语言
ren-gong-yue-shu 人工约束
ren-gong-zhi-neng 人工智能
ren-gong-zhi-neng-cheng-xu-she-ji 人工智能程序设计
ren-gong-zhi-neng-yu-yan 人工智能语言
ren-gong-zhuan-men-zhi-shi 人工专门知识
ren-ji-dui-hua 人机对话
ren-ji-gong-cheng 人机工程
ren-ji-huan-jing 人机环境
ren-ji-huan-jing-xi-tong 人机环境系统
ren-ji-jiao-hu 人机交互
ren-ji-jie-kou 人机接口
ren-ji-jie-mian 人机界面
ren-ji-kong-zhi-xi-tong 人机控制系统
ren-ji-mo-ni 人机模拟
ren-ji-quan-heng 人机权衡
ren-ji-xi-tong 人机系统
ren-ji-xiao-xi 人际消息
ren-ji-xiao-xi-chu-li 人际消息处理
ren-ke-de-yun-ying-ji-gou 认可的运营机构
ren-ke-mo-xing 认可模型
ren-shi-xue 认识学
ren-wei 人为
ren-wei-gu-zhang 人为故障
ren-wu 任务
ren-wu-chi 任务池
ren-wu-chu-li 任务处理
ren-wu-dai-ma-zi 任务代码字
ren-wu-diao-du 任务调度
ren-wu-diao-du-cheng-xu 任务调度程序
ren-wu-diao-du-you-xian-ji 任务调度优先级
ren-wu-dui-huan 任务对换
ren-wu-dui-lie 任务队列
ren-wu-fan-chou 任务范畴
ren-wu-fen-dan 任务分担
ren-wu-fen-pai-cheng-xu 任务分派程序
ren-wu-fen-pei 任务分配
ren-wu-guan-li 任务管理
ren-wu-guan-li-cheng-xu 任务管理程序
ren-wu-ji 任务集
ren-wu-ji-ku 任务集库
ren-wu-ji-zhuang-ru-mo-kuai 任务集装入模块
ren-wu-jiao-huan 任务交换
ren-wu-kong-zhi-kuai 任务控制块
ren-wu-miao-shu-fu 任务描述符
ren-wu-mo-xing 任务模型
ren-wu-qi-dong 任务启动
ren-wu-qian-yi 任务迁移
ren-wu-shu-chu-dui-lie 任务输出队列
ren-wu-shu-ru-dui-lie 任务输入队列
ren-wu-shu-ru-shu-chu-biao 任务输入输出表
ren-wu-tu 任务图
ren-wu-xie-tiao 任务协调
ren-wu-xu-ni-cun-chu-qi 任务虚拟存储器
ren-wu-yi-bu-chu-kou 任务异步出口
ren-wu-zhan-miao-shu-fu 任务栈描述符
ren-wu-zhi-xing-qu 任务执行区
ren-wu-zhong-zhi 任务终止
ren-xuan-yong-hu-she-shi 任选用户设施
ren-yi-duo-bian-xing 任意多边形
ren-zheng 认证
ren-zheng-ji-gou 认证机构
ren-zheng-lian 认证链
ren-zhi 认知
ren-zhi-fang-zhen 认知仿真
ren-zhi-guo-cheng 认知过程
ren-zhi-ji 认知机
ren-zhi-ke-xue 认知科学
ren-zhi-mo-xing 认知模型
ren-zhi-xi-tong 认知系统
ren-zhi-xin-li-xue 认知心理学
ren-zhi-ying-she 认知映射
ren-zhi-ying-xiang-xi-tong 认知映像系统
ren-zhi-zhu-ti 认知主体
ren-zhu-ji-yi 人助机译
ren-zhu-ti 人主体
ri-qi-ti-shi-fu 日期提示符
ri-zhi 日志
rong-cuo 容错
rong-cuo-ji-suan 容错计算
rong-cuo-ji-suan-ji 容错计算机
rong-cuo-kong-zhi 容错控制
rong-duan-si 熔断丝
rong-he 融合
rong-liang 容量
rong-liang-han-shu 容量函数
rong-qi-lei 容器类
rong-si 熔丝
rong-si-lian-jie 熔丝连接
rong-yu 冗余
rong-yu-cun-chu-qi 冗余存储器
rong-yu-jian-yan 冗余检验
rou-xing-zhi-zao-xi-tong 柔性制造系统
ru-chong 蠕虫
ru-dian 入点
ru-du 入度
ru-hu-jiao 入呼叫
ru-qin-jian-ce-xi-tong 入侵检测系统
ru-qin-zhe 入侵者
ru-she-dian-ya 入射电压
ru-shi-jian 入事件
ru-ying-sui-xing-xue-ying-yu 如影随形学英语
ruan-cha-cuo 软差错
ruan-ci-pan 软磁盘
ruan-gu-zhang 软故障
ruan-ji-suan 软计算
ruan-jian 软件
ruan-jian-an-quan 软件安全
ruan-jian-an-quan-xing 软件安全性
ruan-jian-ban-quan 软件版权
ruan-jian-bao 软件包
ruan-jian-bao-hu 软件保护
ruan-jian-cai-gou-yuan 软件采购员
ruan-jian-cao-zuo-yuan 软件操作员
ruan-jian-ce-shi 软件测试
ruan-jian-chan-pin 软件产品
ruan-jian-chan-pin-wei-hu 软件产品维护
ruan-jian-chu-cang-ku 软件储藏库
ruan-jian-cuo-wu 软件错误
ruan-jian-dan-yuan 软件单元
ruan-jian-dao-qie 软件盗窃
ruan-jian-du-liang-xue 软件度量学
ruan-jian-fang-fa-xue 软件方法学
ruan-jian-feng-xian 软件风险
ruan-jian-fu-yong 软件复用
ruan-jian-geng-gai-bao-gao 软件更改报告
ruan-jian-gong-cheng 软件工程
ruan-jian-gong-cheng-fang-fa-xue 软件工程方法学
ruan-jian-gong-cheng-huan-jing 软件工程环境
ruan-jian-gong-cheng-jing-ji-xue 软件工程经济学
ruan-jian-gong-ju 软件工具
ruan-jian-gou-jian 软件构件
ruan-jian-gu-zhang 软件故障
ruan-jian-guo-cheng 软件过程
ruan-jian-huo-qu 软件获取
ruan-jian-jian-kong-cheng-xu 软件监控程序
ruan-jian-jie-gou 软件结构
ruan-jian-jing-yan-shu-ju 软件经验数据
ruan-jian-kai-fa-fang-fa 软件开发方法
ruan-jian-kai-fa-guo-cheng 软件开发过程
ruan-jian-kai-fa-huan-jing 软件开发环境
ruan-jian-kai-fa-ji-hua 软件开发计划
ruan-jian-kai-fa-ku 软件开发库
ruan-jian-kai-fa-mo-xing 软件开发模型
ruan-jian-kai-fa-shou-ce 软件开发手册
ruan-jian-kai-fa-zhou-qi 软件开发周期
ruan-jian-ke-kao-xing 软件可靠性
ruan-jian-ke-kao-xing-gong-cheng 软件可靠性工程
ruan-jian-ke-wei-hu-xing 软件可维护性
ruan-jian-ke-yi-zhi-xing 软件可移植性
ruan-jian-ku 软件库
ruan-jian-ku-guan-li-yuan 软件库管理员
ruan-jian-liang-du 软件量度
ruan-jian-lun-kuo 软件轮廓
ruan-jian-pei-zhi 软件配置
ruan-jian-pei-zhi-guan-li 软件配置管理
ruan-jian-ping-ce 软件评测
ruan-jian-ping-tai 软件平台
ruan-jian-qian-xing-fen-xi 软件潜行分析
ruan-jian-qu 软件区
ruan-jian-que-xian 软件缺陷
ruan-jian-rong-cuo-ce-lue 软件容错策略
ruan-jian-rong-yu-jian-yan 软件冗余检验
ruan-jian-sheng-chan-lv 软件生产率
ruan-jian-sheng-cun-zhou-qi 软件生存周期
ruan-jian-shi-gu 软件事故
ruan-jian-shi-xiao 软件失效
ruan-jian-shu-ju-ku 软件数据库
ruan-jian-ti-xi-jie-gou 软件体系结构
ruan-jian-ti-xi-jie-gou-feng-ge 软件体系结构风格
ruan-jian-wei-hu 软件维护
ruan-jian-wei-hu-huan-jing 软件维护环境
ruan-jian-wei-hu-yuan 软件维护员
ruan-jian-wen-dang 软件文档
ruan-jian-xi-tong 软件系统
ruan-jian-xian-jing 软件陷阱
ruan-jian-xing-neng 软件性能
ruan-jian-yan-shou 软件验收
ruan-jian-yan-zheng-cheng-xu 软件验证程序
ruan-jian-yi-wei-hu-xing 软件易维护性
ruan-jian-yi-yi-zhi-xing 软件易移植性
ruan-jian-zai-gong-cheng 软件再工程
ruan-jian-zhi-liang 软件质量
ruan-jian-zhi-liang-bao-zheng 软件质量保证
ruan-jian-zhi-liang-ping-pan-zhun-ze 软件质量评判准则
ruan-jian-zhong-duan 软件中断
ruan-jian-zhu-ce-yuan 软件注册员
ruan-jian-zhu-ti 软件主体
ruan-jian-zi-chan-guan-li-cheng-xu 软件资产管理程序
ruan-jian-zi-dong-hua-fang-fa 软件自动化方法
ruan-jian-zi-yuan 软件资源
ruan-jian-zong-xian 软件总线
ruan-pan 软盘
ruan-pan-chu-cun-dang-an-de-ji-ben-dan-wei 软盘储存档案的基本单位
ruan-pan-dou-dong 软盘抖动
ruan-pan-qu-dong-qi 软盘驱动器
ruan-pan-tao 软盘套
ruan-pan-zhi-tao 软盘纸套
ruan-qu 软驱
ruan-shan-qu-ge-shi 软扇区格式
ruan-ting-ji 软停机
ruan-ying-jian-xie-tong-she-ji 软硬件协同设计
ruan-zhong-duan 软中断
ruan-zhong-duan-chu-li-fang-shi 软中断处理方式
ruan-zhong-duan-ji-zhi 软中断机制
ruan-zhong-duan-xin-hao 软中断信号
rui-hua 锐化
rui-xing-ka-ka-an-quan-zhu-shou 瑞星卡卡安全助手
rui-xing-sha-du-ruan-jian 瑞星杀毒软件
ruo-fang-fa 弱方法
ruo-lian-tong-tu 弱连通图
ruo-mi-yao 弱密钥
ruo-wei 弱位
ruo-yi-zhi-xing-mo-xing 弱一致性模型
sa-bo 撒播
san-ceng-jiao-huan 三层交换
san-chong-shu-ju-jia-mi-biao-zhun 三重数据加密标准
san-dian-tou-shi 三点透视
san-duan-lun 三段论
san-ji-wang-luo 三级网络
san-jiao-ce-ju 三角测距
san-jiao-ce-ju 散焦测距
san-jiao-mian-pian 三角面片
san-jiao-pou-fen 三角剖分
san-lian-tong-fen-zhi 三连通分支
san-lie-han-shu 散列函数
san-lie-suo-yin 散列索引
san-luan-shu-ju-dian 散乱数据点
san-mo-rong-yu 三模冗余
san-re-ji-shu 散热技术
san-re-pian 散热片
san-re-qi 散热器
san-tai-men 三态门
san-wei-bian-ma 三位编码
san-wei-chong-jian 三维重建
san-wei-chuang-kou 三维窗口
san-wei-sao-miao-yi 三维扫描仪
san-wei-shu-biao 三维鼠标
san-wei-shu-zi-hua-yi 三维数字化仪
san-wei-yan-jing 三维眼镜
san-yuan-zu 三元组
san-zu-shi-wang-luo 三足式网络
san-zu-wang-luo 三足网络
sao-cheng-qu-mian 扫成曲面
sao-miao 扫描
sao-miao-duo-bian-xing 扫描多边形
sao-miao-mo-shi 扫描模式
sao-miao-ping-mian 扫描平面
sao-miao-qi 扫瞄器
sao-miao-qu-mian 扫描曲面
sao-miao-she-ji 扫描设计
sao-miao-shu-chu 扫描输出
sao-miao-shu-ru 扫描输入
sao-miao-ti 扫描体
sao-miao-xian-suan-fa 扫描线算法
sao-miao-xuan-ze-qi 扫描选择器
sao-miao-yi 扫描仪
sao-miao-zhuan-huan 扫描转换
se-bao-he-du 色饱和度
se-chun-du 色纯度
se-dai 色带
se-diao 色调
se-du 色度
se-du-tu 色度图
se-du-xue 色度学
se-du-zuo-biao 色度坐标
se-fen 色粉
se-fen-he 色粉盒
se-ji 色集
se-jian 色键
se-ju 色矩
se-kong-jian 色空间
se-mo-xing 色模型
se-pi-pei 色匹配
se-pi-pei-han-shu 色匹配函数
se-ping-heng 色平衡
se-shen-du 色深度
se-shi-ying-xing 色适应性
se-wen 色温
se-ying-she 色映射
se-zhang-du 色彰度
shai-xuan-zhu-ti 筛选主体
shan-chu 删除
shan-chu 扇出
shan-chu-mo-kuai 扇出模块
shan-chu-xian-zhi 扇出限制
shan-chu-yi-chang 删除异常
shan-duan 扇段
shan-ge-shu-ju-jie-gou 栅格数据结构
shan-qu 扇区
shan-qu-ci-fu 扇区伺服
shan-qu-dui-zhun 扇区对准
shan-ru 扇入
shan-shuo 闪烁
shan-su-cun-chu-qi 闪速存储器
shang-bian-ma 熵编码
shang-biao 上标
shang-biao-yue-jie 上标越界
shang-bo-zhuang-tai 上播状态
shang-de-duo-xie-yi 上的多协议
shang-de-wang-ji-xie-yi 上的网际协议
shang-que-jie 上确界
shang-sheng-shi-jian 上升时间
shang-sheng-yan 上升沿
shang-tui 上推
shang-tui-dui-lie 上推队列
shang-tui-pai-xu 上推排序
shang-wang-xing-wei-jian-kong-guan-li-xi-tong 上网行为监控管理系统
shang-wu-fang-wen-ti-gong-zhe 商务访问提供者
shang-wu-yin-te-wang-jiao-huan-zhong-xin 商务因特网交换中心
shang-xia-wei-guan-xi 上下位关系
shang-xia-wen 上下文
shang-xia-wen-fen-xi 上下文分析
shang-xia-wen-nei-guan-jian-zi 上下文内关键字
shang-xia-wen-qie-huan 上下文切换
shang-xia-wen-wai-guan-jian-zi 上下文外关键字
shang-xia-wen-wu-guan-wen-fa 上下文无关文法
shang-xia-wen-wu-guan-yu-fa 上下文无关语法
shang-xia-wen-wu-guan-yu-yan 上下文无关语言
shang-xia-wen-you-guan-wen-fa 上下文有关文法
shang-xia-wen-you-guan-yu-yan 上下文有关语言
shang-xing-lian-lu 上行链路
shang-xing-shu-ju-liu 上行数据流
shang-ye-mao-yi 商业贸易
shang-ye-shu-ju-jiao-huan 商业数据交换
shang-yong-qi-ye 商用企业
shang-yun-xing-de-cao-zuo-xi-tong 上运行的操作系统
shang-zai 上载
she-bei-cun-chu-qi 设备存储器
she-bei-guan-li 设备管理
she-bei-miao-shu 设备描述
she-bei-miao-shu-yu-yan 设备描述语言
she-bei-ming 设备名
she-bei-qu-dong-cheng-xu 设备驱动程序
she-bei-zhi-pai 设备指派
she-bei-zuo-biao 设备坐标
she-bei-zuo-biao-xi 设备坐标系
she-chu 舍出
she-ding-dian-kong-zhi 设定点控制
she-ji-bian-ji-cheng-xu 设计编辑程序
she-ji-bian-ji-qi 设计编辑器
she-ji-cha-cuo 设计差错
she-ji-duo-yang-xing 设计多样性
she-ji-fang-fa-xue 设计方法学
she-ji-fen-xi 设计分析
she-ji-fen-xi-cheng-xu 设计分析程序
she-ji-fen-xi-qi 设计分析器
she-ji-gui-hua 设计规划
she-ji-gui-yue 设计规约
she-ji-jie-duan 设计阶段
she-ji-ku 设计库
she-ji-ou-he-luo-ji 射极耦合逻辑
she-ji-ping-shen 设计评审
she-ji-shen-cha 设计审查
she-ji-xu-qiu 设计需求
she-ji-yan-zheng 设计验证
she-ji-yu-yan 设计语言
she-ji-yue-shu 设计约束
she-ji-zi-dong-hua 设计自动化
she-ji-zou-cha 设计走查
she-mi-fan-chou 涉密范畴
she-ru 舍入
she-ru-wu-cha 舍入误差
she-shi 设施
she-shi-fen-pei 设施分配
she-shi-guan-li 设施管理
she-shi-qing-qiu 设施请求
